target,Density,MP,Tg,logP,logD,A_pKa,B_pKa,logS,logPapp,Kinetic_Solubility_Pred,Soubility_ethanol,Soubility_methanol,Max_organic_solubility,Min_organic_solubility,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MinAbsPartialCharge,BalabanJ,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHDonors,NumSaturatedCarbocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_C_S,fr_NH2,fr_N_O,fr_amidine,fr_aniline,fr_azide,fr_bicyclic,fr_halogen,fr_ketone,fr_lactam,fr_lactone,fr_nitro,fr_phos_acid,fr_phos_ester,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_unbrch_alkane
0,1.504869342,191.22966,88.84907532,3.664054394,3.527536869,7.791355133,3.157398701,-5.898460388,-5.278987885,1,-2.554338928,-2.708791259,-2.175210472,-3.5574325,12.76420594,0.036501043,-4.501285474,0.636822295,35.88888889,376.334,0,0.415910267,-0.27214932,0.27214932,1.351121624,0.421052632,4,1,3,1,0,1,6,2,1,2,3,0,0,6,2.4033,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,1.317352057,193.6801147,38.13451767,2.323203564,2.318561077,11.65853214,1.027230263,-3.716945648,-4.487048149,1,-2.292025287,-2.302045514,-1.948325947,-3.396409268,11.75297052,0.473518519,-0.473518519,0.74836345,12.55555556,236.274,0,0.323422196,-0.350883837,0.323422196,2.30525079,0,0,1,2,2,0,2,0,0,1,0,0,0,0,3,3.3872,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,1.432918906,172.4628296,31.79276657,2.110761642,1.113060474,7.763336182,2.337646484,-3.38854599,-5.174957275,1,-2.287574963,-2.469543836,-1.88299397,-3.229084614,12.29361867,0.072138605,-3.713780917,0.446255892,11.31818182,318.354,0,0.266863343,-0.288367658,0.266863343,2.245466343,0,0,0,1,2,0,2,0,0,3,0,0,0,0,2,2.006,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1.274415851,228.5353241,14.14242935,3.630607367,1.789269447,7.829601765,3.374986172,-4.062359333,-4.618747711,1,-2.327450465,-2.273535647,-1.829606717,-2.936939796,13.47453622,0.062482521,-1.645537079,0.728838562,43.72413793,402.487,0,0.302565672,-0.457741925,0.302565672,1.664596018,0.739130435,4,0,0,0,0,0,6,0,1,3,3,0,0,4,2.5606,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0
0,1.283620834,237.526947,42.12139511,3.783774853,2.094843149,8.088713646,3.472789288,-4.490154266,-4.83823204,1,-2.51517393,-2.43284164,-2.01760811,-3.140599403,12.85887015,0.002433245,-1.602720327,0.701612336,45.68965517,402.487,0,0.302565672,-0.457741927,0.302565672,1.663956408,0.695652174,4,0,0,0,0,0,7,0,2,3,3,0,0,4,2.1284,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
0,1.469837546,145.0243225,29.49561691,0.601714134,0.698830485,8.572301865,2.578637123,-1.838123679,-4.514700413,1,-2.286920989,-2.365352023,-1.975156082,-3.473859783,14.11247496,0.055648148,-1.69525463,0.751515975,11.77272727,306.276,0,0.137254856,-0.381137984,0.137254856,2.006201264,0.230769231,0,0,0,1,2,3,0,0,1,0,0,0,0,3,0.7358,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1.296953678,121.2284393,6.636257172,6.159861565,5.296668053,8.872946739,3.521718264,-5.876976013,-5.022146225,1,-2.166240755,-2.332851889,-1.90808624,-3.082653645,12.95233595,0.019499234,-5.542129731,0.164586202,30.46341463,606.782,0,0.452728834,-0.507956031,0.452728834,1.15060473,0.8125,3,0,0,1,0,1,7,0,2,2,2,0,1,4,8.6826,0,1,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,6
0,1.589600563,186.3069763,58.58284378,-2.477901697,-2.52310586,7.662049294,8.361392021,0.363645315,-6.539637089,1,-2.457926219,-2.263759315,-1.959470422,-3.246700347,10.93437059,0.084947405,-1.661604858,0.166853652,53.72727273,484.503,0,0.186623337,-0.393567282,0.186623337,1.722064446,1,1,2,0,0,0,0,15,0,11,1,3,0,0,3,-7.2914,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.192547679,253.7000427,32.80605698,4.424314499,3.434020996,9.824337959,4.675914764,-4.032087803,-4.600474834,1,-2.469386668,-2.395496439,-1.970463664,-3.118354819,12.26195321,0.032153526,-0.032153526,0.777884424,39.05,270.372,0,0.138555679,-0.507956032,0.138555679,1.728441257,0.611111111,3,0,0,1,0,1,4,0,1,2,2,0,0,4,3.8174,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
0,1.103660941,127.634964,-19.73147583,3.191830158,2.674529314,8.338724136,6.733066559,-5.833506584,-5.108349323,1,-2.653955012,-2.487258538,-2.18377371,-3.521807741,14.54365369,0.006967626,-2.468650401,0.116173372,37.43835616,1030.303,0,0.328662805,-0.460091562,0.328662805,1.693990446,0.75,1,3,1,0,0,0,15,2,4,1,3,0,0,4,5.7224,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0
